title,company,location,experience,job_url,search_role,source,scraped_date,skills_str
Business Finance Senior Analyst,Deutsche Bank,"Mumbai, Maharashtra",,https://www.adzuna.in/land/ad/5846723110?se=Lsy7Byum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=2EA1145F5EFE160755466CD78E5ABD9C03F95872,business analyst,adzuna,2026-09-01,
BA Market Risk,Capco,India,,https://www.adzuna.in/land/ad/5837139638?se=Lsy7Byum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=9C83D61A92EF4F91795C01C5C143B5045C6EC5C0,business analyst,adzuna,2026-09-01,
Salesforce BA - CPQ,Acunor,"Hyderabad, Telangana",,https://www.adzuna.in/land/ad/5864435968?se=Lsy7Byum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=768FE243A16819EA7A8CDC09EE0991345898ABAF,business analyst,adzuna,2026-09-01,
System Analyst,VySystems,"Hyderabad, Telangana",,https://www.adzuna.in/land/ad/5864440027?se=Lsy7Byum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=67C9B33DEB67B123EE988665CA7EC21C90495763,business analyst,adzuna,2026-09-01,
Technical Analyst – India (Contract),RED Global,India,,https://www.adzuna.in/land/ad/5864437212?se=Lsy7Byum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=10D8DC008FCEBC863FF973382BA3EEB6FBC2FD1A,business analyst,adzuna,2026-09-01,
Analyst for CB - Business Finance,Deutsche Bank,"Mumbai, Maharashtra",,https://www.adzuna.in/land/ad/5846723588?se=Lsy7Byum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=4636B2D20086511B4BB7596C290FA66BF0DDB57B,business analyst,adzuna,2026-09-01,
SAP ABAP Consultant,NexSAP Solutions,"Bangalore, Karnataka",,https://www.adzuna.in/land/ad/5864425330?se=Lsy7Byum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=53952D34E397AC0FE57BE7D6E09DAAE7A21D6C86,business analyst,adzuna,2026-09-01,
Liquidity - Design Analyst,Capco,India,,https://www.adzuna.in/land/ad/5837139625?se=Lsy7Byum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=4512448BB1CAA607C8FADF9953897FB2699D9547,business analyst,adzuna,2026-09-01,
Marketing Communications Intern,Tricog Health,"Bangalore, Karnataka",,https://www.adzuna.in/land/ad/5859991660?se=Lsy7Byum8RGCdb4UItyNCQ&utm_medium=api&utm_source=9ab09207&v=6F0DE967662277E779D618E0AC98C1E697074A32,business analyst,adzuna,2026-09-01,
BI Data Analyst,Sutherland,India,,https://www.adzuna.in/land/ad/5864432403?se=yrvdCSum8RG5At0T0GlLXQ&utm_medium=api&utm_source=9ab09207&v=583926D777B5E7FE0CB6FCE541002960AEF8CA52,bi analyst,adzuna,2026-09-01,
BI Analyst,Babcock Power APAC Pvt. Ltd.,India,,https://www.adzuna.in/details/5846954631?utm_medium=api&utm_source=9ab09207,bi analyst,adzuna,2026-09-01,
BI Analyst,Gunnebo Entrance Control,India,,https://www.adzuna.in/details/5854307590?utm_medium=api&utm_source=9ab09207,bi analyst,adzuna,2026-09-01,
BI Analyst,Babcock Power APAC Pvt. Ltd.,"Chennai, Tamil Nadu",,https://www.adzuna.in/details/5848053374?utm_medium=api&utm_source=9ab09207,bi analyst,adzuna,2026-09-01,
BI Analyst,Appian,"Chennai, Tamil Nadu",,https://www.adzuna.in/details/5788468760?utm_medium=api&utm_source=9ab09207,bi analyst,adzuna,2026-09-01,
BI Analyst,"Loyalty Juggernaut, Inc","Golconda, Hyderabad",,https://www.adzuna.in/details/5767244191?utm_medium=api&utm_source=9ab09207,bi analyst,adzuna,2026-09-01,
BI Analyst,Marlabs,"Bangalore, Karnataka",,https://www.adzuna.in/details/5796410673?utm_medium=api&utm_source=9ab09207,bi analyst,adzuna,2026-09-01,"Power BI, Tableau"
BI Analyst,Ingram Micro,"Mumbai, Maharashtra",,https://www.adzuna.in/details/5844295034?utm_medium=api&utm_source=9ab09207,bi analyst,adzuna,2026-09-01,AWS
Sr BI Analyst / Lead BI Analyst,USEReady,"Bangalore, Karnataka",,https://www.adzuna.in/details/1171509154?utm_medium=api&utm_source=9ab09207,bi analyst,adzuna,2026-09-01,SQL
Principal Data Engineer,AB InBev GCC India,"Bangalore, Karnataka",,https://www.adzuna.in/land/ad/5864439570?se=yrvdCSum8RG5At0T0GlLXQ&utm_medium=api&utm_source=9ab09207&v=E80DED1326DD8A8DC47CA7AAE65D5B29EF536508,bi analyst,adzuna,2026-09-01,
Data/BI Analyst,Topcoder,"Noida, Ghaziabad",,https://www.adzuna.in/details/5426391000?utm_medium=api&utm_source=9ab09207,bi analyst,adzuna,2026-09-01,
Sr. BI Analyst,Amherst College,India,,https://www.adzuna.in/details/5833594451?utm_medium=api&utm_source=9ab09207,bi analyst,adzuna,2026-09-01,
Sr BI Analyst,Prgx India,"Pune, Maharashtra",,https://www.adzuna.in/details/5861793665?utm_medium=api&utm_source=9ab09207,bi analyst,adzuna,2026-09-01,"Power BI, SQL"
Specialist BI Analyst (Power BI),NICE,"Pune, Maharashtra",,https://www.adzuna.in/details/5806702891?utm_medium=api&utm_source=9ab09207,bi analyst,adzuna,2026-09-01,Power BI
Power BI Consultant,Gantec Corporation,"Chennai, Tamil Nadu",,https://www.adzuna.in/land/ad/5864437297?se=yrvdCSum8RG5At0T0GlLXQ&utm_medium=api&utm_source=9ab09207&v=422A75D049B2D7B615F57C18B5BF70C841A071CB,bi analyst,adzuna,2026-09-01,Power BI
Business Intelligence (BI) Analyst,Arrow,India,,https://www.adzuna.in/details/5856942231?utm_medium=api&utm_source=9ab09207,bi analyst,adzuna,2026-09-01,
Business Intelligence (BI) Analyst,Arrow Electronics,India,,https://www.adzuna.in/details/5856435467?utm_medium=api&utm_source=9ab09207,bi analyst,adzuna,2026-09-01,
Sr Power BI Analyst,veralto,"Bangalore, Karnataka",,https://www.adzuna.in/details/5806705252?utm_medium=api&utm_source=9ab09207,bi analyst,adzuna,2026-09-01,"DAX, Power BI, SQL"
